Census Year,Total Population,Census Cost,"Average Cost Per Person
"
1790,39292.14,44377.0,1.1294116329627248
1800,53084.83,66109.0,1.2453463635467985
1810,72398.81,178445.0,2.464750456533747
1820,96338.22,208526.0,2.164519958952947
1830,128660.2,378545.0,2.9422074580950444
1840,170694.58,833371.0,4.882234690755852
1850,231918.76,1423351.0,6.1372827277965785
1860,314433.21,1969377.0,6.263260168987874
1870,385583.71,3421198.0,8.872776290263921
1880,501557.83,5790678.0,11.545384507305966
1890,629797.66,11547127.0,18.334661643550724
1900,763033.87,11854000.0,15.535352316667149
1910,919722.66,15968000.0,17.361755553570898
1920,1057106.2,25117000.0,23.76014822351813
1930,1227750.46,40156000.0,32.70697206662012
1940,1316692.75,67527000.0,51.28531314537883
1950,1513257.98,91462000.0,60.44045444253993
1960,1793231.75,127934000.0,71.34270291611779
1970,2033020.31,247653000.0,121.81531034483369
1980,2265421.99,1078488000.0,476.0649471756915
1990,2487183.01,2492830000.0,1002.2704360625237
2000,2814219.06,45000000000.0,15990.226432479638
2010,3087455.38,13000000000.0,4210.587166445139
